Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2021-08-03 00:00:00,8.0,2011.0,0.898,1,no
2021-08-04 00:00:00,4.0,5050.0,2.16,2,no
2021-08-05 00:00:00,5.0,1252.0,0.541,3,no
2021-08-06 00:00:00,6.0,1223.0,0.503,4,no
2021-08-07 00:00:00,5.0,1005.0,0.43,5,no
2021-08-08 00:00:00,8.0,3984.0,1.71,6,no
2021-08-09 00:00:00,6.0,1217.0,0.527,0,no
2021-08-10 00:00:00,7.0,6316.0,2.59,1,no
2021-08-11 00:00:00,10.0,5422.0,2.64,2,no
2021-08-12 00:00:00,4.0,498.0,0.215,3,no
2021-08-13 00:00:00,3.0,4014.0,1.67,4,no
2021-08-14 00:00:00,5.0,718.24,0.318,5,no
2021-08-15 00:00:00,6.0,539.0,0.248,6,no
2021-08-16 00:00:00,3.0,10059.0,4.04,0,no
2021-08-17 00:00:00,5.0,3835.0,1.77,1,no
2021-08-18 00:00:00,4.0,3537.0,1.57,2,no
2021-08-19 00:00:00,4.0,9501.0,3.65,3,no
2021-08-20 00:00:00,7.0,6837.0,2.85,4,no
2021-08-21 00:00:00,2.0,2915.0,1.28,5,no
2021-08-22 00:00:00,4.0,556.0,0.241,6,no
2021-08-23 00:00:00,4.0,1419.0,0.577,0,no
2021-08-24 00:00:00,4.0,2940.0,1.3,1,no
2021-08-25 00:00:00,5.0,1016.0,0.44,2,no
2021-08-26 00:00:00,4.0,152.0,0.066,3,no
2021-08-27 00:00:00,3.0,822.0,0.363,4,no
2021-08-28 00:00:00,3.0,1660.0,0.714,5,no
2021-08-29 00:00:00,5.0,3835.0,1.58,6,no
2021-08-30 00:00:00,3.0,1054.0,0.451,0,no
2021-08-31 00:00:00,5.0,1125.0,0.491,1,no
2021-09-01 00:00:00,3.0,1183.0,0.51,2,no
2021-09-02 00:00:00,10.0,1311.0,0.586,3,no
2021-09-03 00:00:00,6.0,1961.0,0.833,4,no
2021-09-04 00:00:00,5.0,3268.0,1.22,5,no
2021-09-05 00:00:00,3.0,425.0,0.187,6,no
2021-09-06 00:00:00,3.0,749.0,0.323,0,no
2021-09-07 00:00:00,4.0,821.0,0.354,1,no
2021-09-08 00:00:00,3.0,477.0,0.209,2,no
2021-09-09 00:00:00,2.0,1454.0,0.611,3,no
2021-09-10 00:00:00,5.0,680.0,0.308,4,no
2021-09-11 00:00:00,4.0,4868.0,1.91,5,no
2021-09-12 00:00:00,6.0,9391.0,3.78,6,no
2021-09-13 00:00:00,1.0,9867.0,4.27,0,no
2021-09-14 00:00:00,2.0,6611.0,2.74,1,no
2021-09-15 00:00:00,3.0,8984.0,3.98,2,no
2021-09-16 00:00:00,6.0,8131.0,3.24,3,no
2021-09-17 00:00:00,9.0,12764.0,5.32,4,no
2021-09-18 00:00:00,4.0,12471.0,5.19,5,no
2021-09-19 00:00:00,2.0,10413.0,4.58,6,no
2021-09-20 00:00:00,1.0,8618.0,3.82,0,no
2021-09-21 00:00:00,2.0,7989.0,3.42,1,no
2021-09-22 00:00:00,4.0,9049.0,3.8,2,no
2021-09-23 00:00:00,2.0,6047.0,2.73,3,no
2021-09-24 00:00:00,5.0,14374.0,6.45,4,no
2021-09-25 00:00:00,2.0,3444.0,1.42,5,no
2021-09-26 00:00:00,5.0,903.0,0.344,6,no
2021-09-27 00:00:00,8.0,10250.0,4.62,0,no
2021-09-28 00:00:00,2.0,10499.0,4.69,1,no
2021-09-29 00:00:00,1.0,5267.0,2.3,2,no
2021-09-30 00:00:00,1.0,3526.0,1.6,3,no
2021-10-01 00:00:00,2.0,9055.0,4.28,4,no
2021-10-02 00:00:00,2.0,395.0,0.168,5,no
2021-10-03 00:00:00,2.0,691.0,0.312,6,no
2021-10-04 00:00:00,2.0,5142.0,2.35,0,no
2021-10-05 00:00:00,2.0,9293.0,4.18,1,no
2021-10-06 00:00:00,6.0,10543.0,4.91,2,no
2021-10-07 00:00:00,2.0,10714.0,4.92,3,no
2021-10-08 00:00:00,5.0,8838.0,3.89,4,no
2021-10-09 00:00:00,3.0,9696.0,4.31,5,no
2021-10-10 00:00:00,1.0,3530.0,1.46,6,no
2021-10-11 00:00:00,2.0,7154.0,3.28,0,no
2021-10-12 00:00:00,6.0,7946.0,3.62,1,no
2021-10-13 00:00:00,6.0,6348.0,2.95,2,no
2021-10-14 00:00:00,3.0,9491.0,4.17,3,no
2021-10-15 00:00:00,4.0,7221.0,3.18,4,no
2021-10-16 00:00:00,3.0,5636.0,2.42,5,no
2021-10-17 00:00:00,2.0,249.0,0.11,6,no
